Stock,Alpha,Alpha_tstat,Alpha_pval,Beta,Beta_tstat,Beta_pval,R-squared,F_stat,Durbin_Watson,N_obs
AAPL,0.0005,1.9765,0.0482,1.2033,59.0484,0.0,0.558,3486.7169,1.8616,2764
AMT,0.0001,0.2102,0.8335,0.7004,29.782,0.0,0.2431,886.9691,1.9827,2764
AMZN,0.0006,2.045,0.041,1.1719,43.4673,0.0,0.4062,1889.4075,1.9692,2764
CAT,0.0004,1.4997,0.1338,1.0721,43.8482,0.0,0.4104,1922.6677,1.8969,2764
GOOG,0.0005,2.0765,0.0379,1.1391,52.6384,0.0,0.5008,2770.8063,1.9396,2764
JNJ,0.0001,0.7095,0.4781,0.4927,29.1279,0.0,0.235,848.4355,2.02,2764
JPM,0.0003,1.3532,0.1761,1.0961,55.0091,0.0,0.5228,3025.9998,2.0353,2764
NEE,0.0003,1.0456,0.2958,0.6415,27.65,0.0,0.2168,764.5239,2.0145,2764
PG,0.0001,0.2645,0.7914,0.5124,29.9922,0.0,0.2457,899.5333,2.02,2764
XOM,-0.0,-0.0393,0.9687,0.8222,33.4548,0.0,0.2884,1119.2255,1.9535,2764
